Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	Intergranular vented fraction (/)	Intergranular venting probability (/)	
0	1775	3e+18	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	0	0.5162015	
60	1775	3e+18	0	1.179847e-05	1.5552e+23	1.295178e+23	1.295178e+23	0	1.352788e+22	1.247431e+22	1.944e+22	1.618973e+22	1.618973e+22	0	1.690985e+21	1.559289e+21	0.08021033	1.274135e+24	0	0	3.987413e+13	1501.051	3595.147	7.268501e-09	9.739744e-17	2.712117e-25	0.003883638	0.5	2.749764e-06	1	0.02199041	7.209709e+26	2.301694e+28	0	0.4797408	
120	1775	3e+18	0	1.34775e-05	3.1104e+23	2.812101e+23	4.125328e+21	2.770847e+23	1.558654e+22	1.424339e+22	3.888e+22	3.515126e+22	5.15666e+20	3.463559e+22	1.948317e+21	1.780423e+21	0.04579278	1.32424e+24	0	0	3.979447e+13	1979.554	6441.859	8.45722e-09	1.3186e-16	4.272252e-25	0.005247299	0.5	3.784353e-06	1	0.04398083	7.209709e+26	2.301694e+28	0	0.4621729	
180	1775	3e+18	0	1.460427e-05	4.6656e+23	4.322577e+23	6.104639e+21	4.26153e+23	1.805217e+22	1.625017e+22	5.832e+22	5.403221e+22	7.630799e+20	5.326913e+22	2.256521e+21	2.031271e+21	0.03482976	1.326211e+24	1.319054e-10	1.274936e-05	3.972409e+13	2488.78	9292.756	9.396422e-09	1.627732e-16	5.859512e-25	0.006466015	0.5	4.781418e-06	1	0.06597124	7.209709e+26	2.301694e+28	0	0.4487031	
240	1775	3e+18	0	1.538971e-05	6.2208e+23	5.832813e+23	6.49231e+21	5.76789e+23	2.057612e+22	1.822262e+22	7.776e+22	7.291016e+22	8.115387e+20	7.209862e+22	2.572015e+21	2.277827e+21	0.02929304	1.044197e+24	1.648884e-10	1.960837e-05	3.965608e+13	2994.437	12319.45	1.020937e-08	1.921567e-16	7.515721e-25	0.007620184	0.5	5.809937e-06	1	0.08796166	7.209709e+26	2.301694e+28	0	0.4386722	
300	1775	3e+18	0	1.593109e-05	7.776e+23	7.333584e+23	9.989063e+21	7.233694e+23	2.367036e+22	2.057121e+22	9.72e+22	9.16698e+22	1.248633e+21	9.042117e+22	2.958795e+21	2.571401e+21	0.02645475	9.793515e+23	1.863325e-10	2.65395e-05	3.958145e+13	3572.646	15931.21	1.102751e-08	2.241884e-16	9.471239e-25	0.0088737	0.5	7.059502e-06	1	0.1099521	7.209709e+26	2.301694e+28	0	0.4315022	
360	1775	3e+18	0	1.628456e-05	9.3312e+23	8.828464e+23	1.257048e+22	8.702759e+23	2.71285e+22	2.314508e+22	1.1664e+23	1.103558e+23	1.571311e+21	1.087845e+23	3.391063e+21	2.893135e+21	0.02480397	9.434249e+23	2.034604e-10	3.328403e-05	3.950095e+13	4193.972	20140.94	1.18347e-08	2.582094e-16	1.170699e-24	0.01019952	0.5	8.519185e-06	1	0.1319425	7.209709e+26	2.301694e+28	0	0.4267014	
420	1775	3e+18	0	1.6487e-05	1.08864e+24	1.031795e+24	1.503902e+22	1.016756e+24	3.091439e+22	2.593038e+22	1.3608e+23	1.289744e+23	1.879878e+21	1.270945e+23	3.864299e+21	3.241297e+21	0.02381906	9.165072e+23	2.184923e-10	4.004357e-05	3.941576e+13	4849.128	24928.6	1.262343e-08	2.937733e-16	1.420711e-24	0.0115793	0.5	1.018955e-05	1	0.1539329	7.209709e+26	2.301694e+28	0	0.4238653	
480	1775	3e+18	0	1.656496e-05	1.24416e+24	1.1802e+24	1.751099e+22	1.162689e+24	3.502212e+22	2.893763e+22	1.5552e+23	1.47525e+23	2.188874e+21	1.453362e+23	4.377765e+21	3.617203e+21	0.02325877	8.939146e+23	2.320435e-10	4.67835e-05	3.932683e+13	5531.91	30270.72	1.33903e-08	3.305511e-16	1.695684e-24	0.01299953	0.5	1.207716e-05	1	0.1759233	7.209709e+26	2.301694e+28	0	0.4226647	
540	1775	3e+18	0	1.656496e-05	1.39968e+24	1.328052e+24	2.001663e+22	1.308035e+24	3.945064e+22	3.217738e+22	1.7496e+23	1.660065e+23	2.502079e+21	1.635044e+23	4.931331e+21	4.022173e+21	0.0229891	8.742788e+23	2.444558e-10	5.349824e-05	3.92341e+13	6246.145	36198.25	1.414109e-08	3.686578e-16	1.997203e-24	0.01446396	0.5	1.419113e-05	1	0.1979137	7.209709e+26	2.301694e+28	0	0.4224878	
600	1775	3e+18	0	1.656496e-05	1.5552e+24	1.475376e+24	2.255843e+22	1.452817e+24	4.418546e+22	3.563869e+22	1.944e+23	1.84422e+23	2.819804e+21	1.816022e+23	5.523182e+21	4.454837e+21	0.02291583	8.568667e+23	2.559555e-10	6.018598e-05	3.913558e+13	7013.411	42881.07	1.489506e-08	4.090181e-16	2.334001e-24	0.01600716	0.5	1.654259e-05	1	0.2199041	7.209709e+26	2.301694e+28	0	0.4223108	
660	1775	3e+18	0	1.656496e-05	1.71072e+24	1.622194e+24	2.513576e+22	1.597058e+24	4.921396e+22	3.931203e+22	2.1384e+23	2.027743e+23	3.14197e+21	1.996323e+23	6.151745e+21	4.914004e+21	0.02297982	8.41202e+23	2.667059e-10	6.684776e-05	3.903095e+13	7832.509	50397.39	1.565385e-08	4.517519e-16	2.709176e-24	0.0176323	0.5	1.915037e-05	1	0.2418946	7.209709e+26	2.301694e+28	0	0.4221337	
720	1775	3e+18	0	1.656496e-05	1.86624e+24	1.768526e+24	2.774755e+22	1.740778e+24	5.452509e+22	4.318902e+22	2.3328e+23	2.210657e+23	3.468444e+21	2.175973e+23	6.815636e+21	5.398627e+21	0.02314226	8.269482e+23	2.768279e-10	7.348464e-05	3.89203e+13	8702.457	58800.07	1.64166e-08	4.968488e-16	3.124809e-24	0.0193375	0.5	2.202574e-05	1	0.263885	7.209709e+26	2.301694e+28	0	0.4219565	
780	1775	3e+18	0	1.656496e-05	2.02176e+24	1.914389e+24	3.039284e+22	1.883996e+24	6.010912e+22	4.726225e+22	2.5272e+23	2.392986e+23	3.799105e+21	2.354995e+23	7.51364e+21	5.907781e+21	0.02337679	8.138597e+23	2.864137e-10	8.009756e-05	3.880385e+13	9622.485	68135.21	1.718224e-08	5.442738e-16	3.582723e-24	0.02111992	0.5	2.517787e-05	1	0.2858754	7.209709e+26	2.301694e+28	0	0.4217793	
840	1775	3e+18	0	1.656496e-05	2.17728e+24	2.059797e+24	3.307072e+22	2.026727e+24	6.595742e+22	5.152516e+22	2.7216e+23	2.574747e+23	4.13384e+21	2.533408e+23	8.244677e+21	6.440645e+21	0.02366492	8.017517e+23	2.955351e-10	8.668736e-05	3.868179e+13	10592.02	78447.52	1.79499e-08	5.939938e-16	4.084699e-24	0.02297674	0.5	2.861524e-05	1	0.3078658	7.209709e+26	2.301694e+28	0	0.421602	
900	1775	3e+18	0	1.656496e-05	2.3328e+24	2.204766e+24	3.578032e+22	2.168986e+24	7.206231e+22	5.597186e+22	2.916e+23	2.755957e+23	4.472541e+21	2.711232e+23	9.007789e+21	6.996482e+21	0.02399342	7.904812e+23	3.042498e-10	9.325476e-05	3.855433e+13	11610.65	89781.91	1.871896e-08	6.459833e-16	4.632539e-24	0.02490545	0.5	3.234619e-05	1	0.3298562	7.209709e+26	2.301694e+28	0	0.4214247	
960	1775	3e+18	0	1.656496e-05	2.48832e+24	2.349306e+24	3.852085e+22	2.310785e+24	7.841691e+22	6.059707e+22	3.1104e+23	2.936633e+23	4.815107e+21	2.888481e+23	9.802113e+21	7.574634e+21	0.0243526	7.799355e+23	3.126044e-10	9.980045e-05	3.842165e+13	12678.13	102184.1	1.948901e-08	7.002247e-16	5.228093e-24	0.02690379	0.5	3.637895e-05	1	0.3518466	7.209709e+26	2.301694e+28	0	0.4212472	
1020	1775	3e+18	0	1.656496e-05	2.64384e+24	2.493429e+24	4.129155e+22	2.452137e+24	8.501501e+22	6.539603e+22	3.3048e+23	3.116786e+23	5.161444e+21	3.065172e+23	1.062688e+22	8.174504e+21	0.02473525	7.700236e+23	3.206375e-10	0.000106325	3.828393e+13	13794.34	115700.8	2.02598e-08	7.567077e-16	5.873262e-24	0.02896974	0.5	4.072177e-05	1	0.373837	7.209709e+26	2.301694e+28	0	0.4210697	
1080	1775	3e+18	0	1.656496e-05	2.79936e+24	2.637145e+24	4.409173e+22	2.593053e+24	9.185101e+22	7.036439e+22	3.4992e+23	3.296431e+23	5.511466e+21	3.241316e+23	1.148138e+22	8.795549e+21	0.02513589	7.606713e+23	3.283812e-10	0.000112829	3.814131e+13	14959.26	130380.1	2.10312e-08	8.154284e-16	6.570009e-24	0.03110151	0.5	4.538292e-05	1	0.3958275	7.209709e+26	2.301694e+28	0	0.4208922	
1140	1775	3e+18	0	1.656496e-05	2.95488e+24	2.780462e+24	4.692072e+22	2.733541e+24	9.891979e+22	7.54982e+22	3.6936e+23	3.475578e+23	5.865089e+21	3.416927e+23	1.236497e+22	9.437275e+21	0.02555034	7.518169e+23	3.35863e-10	0.0001193128	3.799396e+13	16172.99	146271.3	2.180316e-08	8.763889e-16	7.320361e-24	0.03329748	0.5	5.037069e-05	1	0.4178179	7.209709e+26	2.301694e+28	0	0.4207145	
1200	1775	3e+18	0	1.656496e-05	3.1104e+24	2.923389e+24	4.97779e+22	2.873612e+24	1.062167e+23	8.079382e+22	3.888e+23	3.654237e+23	6.222238e+21	3.592014e+23	1.327709e+22	1.009923e+22	0.02597538	7.434089e+23	3.431061e-10	0.0001257771	3.784201e+13	17435.73	163425.2	2.257572e-08	9.395959e-16	8.126413e-24	0.0355562	0.5	5.569343e-05	1	0.4398083	7.209709e+26	2.301694e+28	0	0.4205369	
1260	1775	3e+18	0	1.656496e-05	3.26592e+24	3.065935e+24	5.266271e+22	3.013272e+24	1.137374e+23	8.624791e+22	4.0824e+23	3.832418e+23	6.582839e+21	3.76659e+23	1.421718e+22	1.078099e+22	0.02640846	7.354033e+23	3.501305e-10	0.0001322221	3.76856e+13	18747.77	181894.3	2.334895e-08	1.005061e-15	8.990334e-24	0.03787633	0.5	6.135954e-05	1	0.4617987	7.209709e+26	2.301694e+28	0	0.4203591	
1320	1775	3e+18	0	1.656496e-05	3.42144e+24	3.208105e+24	5.55746e+22	3.15253e+24	1.214781e+23	9.185736e+22	4.2768e+23	4.010131e+23	6.946826e+21	3.940662e+23	1.518476e+22	1.148217e+22	0.02684757	7.277627e+23	3.569537e-10	0.0001386482	3.752486e+13	20109.46	201732.8	2.412295e-08	1.0728e-15	9.91437e-24	0.04025666	0.5	6.737752e-05	1	0.4837891	7.209709e+26	2.301694e+28	0	0.4201813	
1380	1775	3e+18	0	1.656496e-05	3.57696e+24	3.349906e+24	5.851306e+22	3.291393e+24	1.294349e+23	9.761929e+22	4.4712e+23	4.187382e+23	7.314132e+21	4.114241e+23	1.617936e+22	1.220241e+22	0.02729113	7.204548e+23	3.635911e-10	0.0001450558	3.73599e+13	21521.25	222996.7	2.489787e-08	1.142831e-15	1.090085e-23	0.04269606	0.5	7.375591e-05	1	0.5057795	7.209709e+26	2.301694e+28	0	0.4200035	
1440	1775	3e+18	0	1.656496e-05	3.73248e+24	3.491344e+24	6.147759e+22	3.429867e+24	1.376046e+23	1.03531e+23	4.6656e+23	4.36418e+23	7.684699e+21	4.287333e+23	1.720057e+22	1.294138e+22	0.02773787	7.134515e+23	3.70056e-10	0.0001514452	3.719083e+13	22983.63	245744	2.567386e-08	1.215179e-15	1.195219e-23	0.0451935	0.5	8.050337e-05	1	0.5277699	7.209709e+26	2.301694e+28	0	0.4198256	
1500	1775	3e+18	0	1.656496e-05	3.888e+24	3.632426e+24	6.446774e+22	3.567958e+24	1.459839e+23	1.095901e+23	4.86e+23	4.540533e+23	8.058468e+21	4.459948e+23	1.824799e+22	1.369876e+22	0.02818674	7.067281e+23	3.763605e-10	0.0001578167	3.701778e+13	24497.2	270034.7	2.64511e-08	1.289868e-15	1.307088e-23	0.04774804	0.5	8.762865e-05	1	0.5497604	7.209709e+26	2.301694e+28	0	0.4196476	
1560	1775	3e+18	0	1.656496e-05	4.04352e+24	3.773156e+24	6.748308e+22	3.705673e+24	1.5457e+23	1.15794e+23	5.0544e+23	4.716445e+23	8.435385e+21	4.632091e+23	1.932125e+22	1.447425e+22	0.02863694	7.002629e+23	3.825151e-10	0.0001641707	3.684084e+13	26062.58	295931.2	2.722976e-08	1.366928e-15	1.425954e-23	0.05035877	0.5	9.514061e-05	1	0.5717508	7.209709e+26	2.301694e+28	0	0.4194696	
1620	1775	3e+18	0	1.656496e-05	4.19904e+24	3.913539e+24	7.052318e+22	3.843016e+24	1.6336e+23	1.221407e+23	5.2488e+23	4.891924e+23	8.815397e+21	4.80377e+23	2.042e+22	1.526759e+22	0.02908777	6.940369e+23	3.885294e-10	0.0001705073	3.666012e+13	27680.48	323498.1	2.801006e-08	1.446391e-15	1.552086e-23	0.05302487	0.5	0.0001030482	1	0.5937412	7.209709e+26	2.301694e+28	0	0.4192915	
1680	1775	3e+18	0	1.656496e-05	4.35456e+24	4.053581e+24	7.358764e+22	3.979993e+24	1.723513e+23	1.28628e+23	5.4432e+23	5.066976e+23	9.198455e+21	4.974991e+23	2.154392e+22	1.60785e+22	0.0295387	6.880329e+23	3.94412e-10	0.0001768268	3.647571e+13	29351.66	352802.2	2.879217e-08	1.528292e-15	1.685764e-23	0.05574555	0.5	0.0001113606	1	0.6157316	7.209709e+26	2.301694e+28	0	0.4191135	
1740	1775	3e+18	0	1.656496e-05	4.51008e+24	4.193284e+24	7.667609e+22	4.116608e+24	1.815416e+23	1.35254e+23	5.6376e+23	5.241606e+23	9.584511e+21	5.14576e+23	2.26927e+22	1.690675e+22	0.02998927	6.822356e+23	4.001705e-10	0.0001831294	3.628771e+13	31076.94	383913.3	2.95763e-08	1.612669e-15	1.827281e-23	0.05852009	0.5	0.0001200869	1	0.637722	7.209709e+26	2.301694e+28	0	0.4189353	
1800	1775	3e+18	0	1.656496e-05	4.6656e+24	4.332655e+24	7.978816e+22	4.252867e+24	1.909284e+23	1.420167e+23	5.832e+23	5.415819e+23	9.97352e+21	5.316083e+23	2.386605e+22	1.775209e+22	0.03043912	6.766314e+23	4.05812e-10	0.0001894154	3.609622e+13	32857.2	416903.5	3.036265e-08	1.699563e-15	1.976938e-23	0.06134779	0.5	0.0001292366	1	0.6597124	7.209709e+26	2.301694e+28	0	0.4187571	
1860	1775	3e+18	0	1.656496e-05	4.82112e+24	4.471696e+24	8.292351e+22	4.388772e+24	2.005096e+23	1.489145e+23	6.0264e+23	5.58962e+23	1.036544e+22	5.485966e+23	2.50637e+22	1.861431e+22	0.03088794	6.71208e+23	4.113429e-10	0.000195685	3.590132e+13	34693.37	451848.2	3.115144e-08	1.789015e-15	2.13505e-23	0.064228	0.5	0.0001388191	1	0.6817028	7.209709e+26	2.301694e+28	0	0.4185789	
1920	1775	3e+18	0	1.656496e-05	4.97664e+24	4.610411e+24	8.60818e+22	4.52433e+24	2.102831e+23	1.559455e+23	6.2208e+23	5.763014e+23	1.076022e+22	5.655412e+23	2.628539e+22	1.949319e+22	0.0313355	6.65954e+23	4.167689e-10	0.0002019384	3.57031e+13	36586.44	488825.3	3.194286e-08	1.881072e-15	2.301947e-23	0.0671601	0.5	0.0001488442	1	0.7036933	7.209709e+26	2.301694e+28	0	0.4184007	
1980	1775	3e+18	0	1.656496e-05	5.13216e+24	4.748805e+24	8.92627e+22	4.659542e+24	2.20247e+23	1.631082e+23	6.4152e+23	5.936006e+23	1.115784e+22	5.824428e+23	2.753087e+22	2.038853e+22	0.0317816	6.608595e+23	4.220956e-10	0.0002081757	3.550165e+13	38537.46	527916.2	3.273713e-08	1.975782e-15	2.477968e-23	0.07014351	0.5	0.0001593217	1	0.7256837	7.209709e+26	2.301694e+28	0	0.4182224	
2040	1775	3e+18	0	1.656496e-05	5.28768e+24	4.88688e+24	9.246591e+22	4.794414e+24	2.303993e+23	1.704011e+23	6.6096e+23	6.108599e+23	1.155824e+22	5.993017e+23	2.879991e+22	2.130014e+22	0.03222606	6.559151e+23	4.273276e-10	0.0002143972	3.529705e+13	40547.53	569205.3	3.353445e-08	2.073195e-15	2.663468e-23	0.07317768	0.5	0.0001702616	1	0.7476741	7.209709e+26	2.301694e+28	0	0.4180441	
2100	1775	3e+18	0	1.656496e-05	5.4432e+24	5.024639e+24	9.569113e+22	4.928948e+24	2.407383e+23	1.778226e+23	6.804e+23	6.280799e+23	1.196139e+22	6.161185e+23	3.009229e+22	2.222783e+22	0.03266877	6.511123e+23	4.324696e-10	0.000220603	3.508939e+13	42617.81	612780.6	3.433503e-08	2.173365e-15	2.858817e-23	0.07626206	0.5	0.0001816741	1	0.7696645	7.209709e+26	2.301694e+28	0	0.4178657	
2160	1775	3e+18	0	1.656496e-05	5.59872e+24	5.162086e+24	9.893806e+22	5.063148e+24	2.512623e+23	1.853714e+23	6.9984e+23	6.452608e+23	1.236726e+22	6.328935e+23	3.140779e+22	2.317142e+22	0.0331096	6.464436e+23	4.375257e-10	0.0002267932	3.487874e+13	44749.52	658733.8	3.513909e-08	2.276348e-15	3.064399e-23	0.07939616	0.5	0.0001935695	1	0.7916549	7.209709e+26	2.301694e+28	0	0.4176874	
2220	1775	3e+18	0	1.656496e-05	5.75424e+24	5.299224e+24	1.022064e+23	5.197018e+24	2.619697e+23	1.93046e+23	7.1928e+23	6.62403e+23	1.27758e+22	6.496272e+23	3.274621e+22	2.413075e+22	0.03354849	6.419017e+23	4.424998e-10	0.0002329681	3.466518e+13	46943.92	707160.1	3.594682e-08	2.382203e-15	3.280615e-23	0.08257948	0.5	0.0002059584	1	0.8136453	7.209709e+26	2.301694e+28	0	0.417509	
2280	1775	3e+18	0	1.656496e-05	5.90976e+24	5.436056e+24	1.05496e+23	5.33056e+24	2.728588e+23	2.008453e+23	7.3872e+23	6.79507e+23	1.3187e+22	6.6632e+23	3.410735e+22	2.510566e+22	0.03398535	6.374801e+23	4.473955e-10	0.0002391278	3.444879e+13	49202.34	758159	3.675844e-08	2.49099e-15	3.507883e-23	0.08581157	0.5	0.0002188517	1	0.8356357	7.209709e+26	2.301694e+28	0	0.4173305	
2340	1775	3e+18	0	1.656496e-05	6.06528e+24	5.572584e+24	1.088064e+23	5.463777e+24	2.839283e+23	2.087678e+23	7.5816e+23	6.96573e+23	1.36008e+22	6.829722e+23	3.549104e+22	2.609598e+22	0.03442015	6.331727e+23	4.52216e-10	0.0002452724	3.422964e+13	51526.18	811833.9	3.757415e-08	2.602773e-15	3.746637e-23	0.08909198	0.5	0.0002322602	1	0.8576262	7.209709e+26	2.301694e+28	0	0.4171521	
2400	1775	3e+18	0	1.656496e-05	6.2208e+24	5.708811e+24	1.121375e+23	5.596673e+24	2.951766e+23	2.168125e+23	7.776e+23	7.136014e+23	1.401719e+22	6.995842e+23	3.689708e+22	2.710156e+22	0.03485283	6.28974e+23	4.569645e-10	0.0002514021	3.400782e+13	53916.89	868292.6	3.839418e-08	2.717618e-15	3.997329e-23	0.09242029	0.5	0.0002461952	1	0.8796166	7.209709e+26	2.301694e+28	0	0.4169736	
2460	1775	3e+18	0	1.656496e-05	6.37632e+24	5.844739e+24	1.15489e+23	5.72925e+24	3.066024e+23	2.249781e+23	7.9704e+23	7.305924e+23	1.443613e+22	7.161563e+23	3.83253e+22	2.812226e+22	0.03528338	6.248788e+23	4.616439e-10	0.0002575169	3.37834e+13	56375.96	927647.7	3.921871e-08	2.835596e-15	4.260434e-23	0.09579608	0.5	0.0002606681	1	0.901607	7.209709e+26	2.301694e+28	0	0.4167952	
2520	1775	3e+18	0	1.656496e-05	6.53184e+24	5.980372e+24	1.188607e+23	5.861511e+24	3.182044e+23	2.332635e+23	8.1648e+23	7.475465e+23	1.485759e+22	7.326889e+23	3.977555e+22	2.915794e+22	0.03571177	6.208823e+23	4.662569e-10	0.0002636171	3.355644e+13	58904.98	990016.3	4.004797e-08	2.956778e-15	4.536442e-23	0.09921896	0.5	0.0002756907	1	0.9235974	7.209709e+26	2.301694e+28	0	0.4166167	
2580	1775	3e+18	0	1.656496e-05	6.68736e+24	6.115711e+24	1.222523e+23	5.993459e+24	3.299813e+23	2.416677e+23	8.3592e+23	7.644639e+23	1.528154e+22	7.491823e+23	4.124767e+22	3.020846e+22	0.03613799	6.1698e+23	4.708059e-10	0.0002697028	3.332703e+13	61505.58	1055521	4.088216e-08	3.081239e-15	4.825867e-23	0.1026885	0.5	0.0002912747	1	0.9455878	7.209709e+26	2.301694e+28	0	0.4164382	
2640	1775	3e+18	0	1.656496e-05	6.84288e+24	6.250759e+24	1.256636e+23	6.125095e+24	3.419319e+23	2.501896e+23	8.5536e+23	7.813448e+23	1.570795e+22	7.656369e+23	4.274149e+22	3.12737e+22	0.03656203	6.131677e+23	4.752935e-10	0.000275774	3.309522e+13	64179.46	1124288	4.172149e-08	3.209057e-15	5.129245e-23	0.1062045	0.5	0.0003074323	1	0.9675782	7.209709e+26	2.301694e+28	0	0.4162596	
2700	1775	3e+18	0	1.656496e-05	6.9984e+24	6.385517e+24	1.290944e+23	6.256423e+24	3.54055e+23	2.588281e+23	8.748e+23	7.981896e+23	1.61368e+22	7.820528e+23	4.425687e+22	3.235351e+22	0.03698389	6.094415e+23	4.797217e-10	0.0002818309	3.28611e+13	66928.38	1196452	4.256618e-08	3.340314e-15	5.447134e-23	0.1097664	0.5	0.0003241761	1	0.9895686	7.209709e+26	2.301694e+28	0	0.4160811	
2760	1775	3e+18	0	1.656496e-05	7.15392e+24	6.519988e+24	1.325445e+23	6.387444e+24	3.663494e+23	2.675822e+23	8.9424e+23	8.149985e+23	1.656806e+22	7.984305e+23	4.579368e+22	3.344778e+22	0.03740358	6.057977e+23	4.840927e-10	0.0002878736	3.262473e+13	69754.2	1272150	4.341644e-08	3.475092e-15	5.780117e-23	0.1133739	0.5	0.0003415186	1	1.011559	7.209709e+26	2.301694e+28	0	0.4159026	
2820	1775	3e+18	0	1.656496e-05	7.30944e+24	6.654175e+24	1.360136e+23	6.518161e+24	3.788141e+23	2.764511e+23	9.1368e+23	8.317718e+23	1.70017e+22	8.147701e+23	4.735177e+22	3.455639e+22	0.03782111	6.022331e+23	4.884085e-10	0.0002939023	3.238618e+13	72658.8	1351529	4.427249e-08	3.61348e-15	6.128803e-23	0.1170268	0.5	0.0003594729	1	1.033549	7.209709e+26	2.301694e+28	0	0.4157241	
2880	1775	3e+18	0	1.656496e-05	7.46496e+24	6.788078e+24	1.395016e+23	6.648577e+24	3.91448e+23	2.854338e+23	9.3312e+23	8.485098e+23	1.74377e+22	8.310721e+23	4.893101e+22	3.567922e+22	0.03823648	5.987442e+23	4.92671e-10	0.0002999169	3.214551e+13	75644.17	1434738	4.513453e-08	3.755568e-15	6.493825e-23	0.1207247	0.5	0.0003780522	1	1.05554	7.209709e+26	2.301694e+28	0	0.4155455	
2940	1775	3e+18	0	1.656496e-05	7.62048e+24	6.921701e+24	1.430083e+23	6.778692e+24	4.042501e+23	2.945293e+23	9.5256e+23	8.652126e+23	1.787603e+22	8.473365e+23	5.053126e+22	3.681617e+22	0.03864971	5.953282e+23	4.968819e-10	0.0003059176	3.19028e+13	78712.37	1521937	4.600278e-08	3.90145e-15	6.875847e-23	0.1244672	0.5	0.0003972701	1	1.07753	7.209709e+26	2.301694e+28	0	0.415367	
3000	1775	3e+18	0	1.656496e-05	7.776e+24	7.055044e+24	1.465334e+23	6.90851e+24	4.172193e+23	3.037369e+23	9.72e+23	8.818805e+23	1.831667e+22	8.635638e+23	5.215242e+22	3.796711e+22	0.03906081	5.919823e+23	5.010428e-10	0.0003119046	3.165812e+13	81865.52	1613288	4.687747e-08	4.051223e-15	7.27556e-23	0.1282541	0.5	0.0004171405	1	1.099521	7.209709e+26	2.301694e+28	0	0.4151884	
3060	1775	3e+18	0	1.656496e-05	7.93152e+24	7.18811e+24	1.500768e+23	7.038033e+24	4.303548e+23	3.130556e+23	9.9144e+23	8.985137e+23	1.87596e+22	8.797541e+23	5.379435e+22	3.913195e+22	0.03946981	5.887036e+23	5.051554e-10	0.0003178778	3.141152e+13	85105.85	1708966	4.775881e-08	4.204989e-15	7.693686e-23	0.1320851	0.5	0.0004376775	1	1.121511	7.209709e+26	2.301694e+28	0	0.4150099	
3120	1775	3e+18	0	1.656496e-05	8.08704e+24	7.3209e+24	1.536382e+23	7.167262e+24	4.436555e+23	3.224846e+23	1.01088e+24	9.151125e+23	1.920478e+22	8.959077e+23	5.545694e+22	4.031057e+22	0.03987671	5.854897e+23	5.092211e-10	0.0003238375	3.116307e+13	88435.63	1809149	4.864703e-08	4.362852e-15	8.13098e-23	0.1359599	0.5	0.0004588957	1	1.143502	7.209709e+26	2.301694e+28	0	0.4148314	
3180	1775	3e+18	0	1.656496e-05	8.24256e+24	7.453416e+24	1.572176e+23	7.296199e+24	4.571206e+23	3.32023e+23	1.03032e+24	9.31677e+23	1.96522e+22	9.120249e+23	5.714007e+22	4.150288e+22	0.04028154	5.823383e+23	5.132414e-10	0.0003297836	3.091284e+13	91857.26	1914026	4.954235e-08	4.524921e-15	8.588231e-23	0.1398782	0.5	0.00048081	1	1.165492	7.209709e+26	2.301694e+28	0	0.4146529	
3240	1775	3e+18	0	1.656496e-05	8.39808e+24	7.585661e+24	1.608147e+23	7.424846e+24	4.707491e+23	3.416702e+23	1.04976e+24	9.482076e+23	2.010183e+22	9.281057e+23	5.884364e+22	4.270878e+22	0.04068433	5.792471e+23	5.172176e-10	0.0003357163	3.06609e+13	95373.2	2023793	5.0445e-08	4.691309e-15	9.066261e-23	0.1438397	0.5	0.0005034356	1	1.187482	7.209709e+26	2.301694e+28	0	0.4144743	
3300	1775	3e+18	0	1.656496e-05	8.5536e+24	7.717634e+24	1.644293e+23	7.553205e+24	4.845403e+23	3.514254e+23	1.0692e+24	9.647043e+23	2.055366e+22	9.441506e+23	6.056753e+22	4.392817e+22	0.04108509	5.76214e+23	5.211511e-10	0.0003416357	3.04073e+13	98986	2138655	5.13552e-08	4.862132e-15	9.565932e-23	0.1478443	0.5	0.0005267881	1	1.209473	7.209709e+26	2.301694e+28	0	0.4142958	
3360	1775	3e+18	0	1.656496e-05	8.70912e+24	7.849339e+24	1.680613e+23	7.681278e+24	4.984932e+23	3.612877e+23	1.08864e+24	9.811674e+23	2.100766e+22	9.601597e+23	6.231165e+22	4.516096e+22	0.04148384	5.732368e+23	5.250429e-10	0.0003475418	3.015211e+13	102698.3	2258826	5.22732e-08	5.037511e-15	1.008814e-22	0.1518916	0.5	0.0005508834	1	1.231463	7.209709e+26	2.301694e+28	0	0.4141174	
